Producto,Codígo de Barras,Precio
SOPA KNORR QUICK LIGHT.VEGET.X55G. ,7794000568310,1603.2239990234375
SOPA KNORR QUICK LIGHT.VEGET.X55G. ,7794000596436,1603.2239990234375
SOPA KNORR QUICK LIGHT.VEGET.X55G. ,7794000598591,1603.2239990234375
SOPA KNORR QUICK LIGHT,7794000598515,1603.2239990234375
SOPA KNORR QUICK LIGHT ZAPALLO X50G,7794000566316,1603.2239990234375
SOPA KNORR QUICK LIGHT ZAPALLO X50G,7794000595002,1603.2239990234375
SOPA KNORR QUICK LIGHT ZAPALLO X50G,7794000596450,1603.2239990234375
SOPA KNORR QUICK LIGHT ZAPALLO X50G,7794000596689,1603.2239990234375
SOPA KNORR QUICK LIGHT ZAPALLO X50G,7794000596696,1603.2239990234375
SOPA KNORR QUICK LIGHT ZAPALLO X50G,7794000598515,1603.2239990234375
CALDOS WILDE X 12 UN,7794000597747,123.88400268554688
CALDOS WILDE CARNE X 12 UNID.      ,7794000541719,123.88400268554688
CALDOS WILDE CARNE X 12 UNID.      ,7794000596313,123.88400268554688
CALDOS WILDE CARNE X 12 UNID.      ,7794000597747,123.88400268554688
CHOCOLATE MILKA LEGER,7622201812744,3446.197998046875
CHOCOLATE MILKA LEGER LECHE X 110G,7622201812744,3446.197998046875
SOPA ALICANTE FID/VERD,7790150440438,950.3309936523438
SOPA ALICANTE FID/VERD HUERTA 72GR,7790150440438,950.3309936523438
SOPA LA VIRGINIA FID/VERD.X72GR.   ,7790150441480,950.3309936523438
SOPA LA VIRGINIA FID/VERD.X72GR.   ,7790150695197,950.3309936523438
KINOTOS,2010670000000,2615.385009765625
NARANJA ESPECIAL <1067>,2010670000000,2615.385009765625
NARANJA ESPECIAL <1067>,2410670000000,2615.385009765625
YERBA PLAYADITO X 2 KG,7793704000041,6049.5048828125
YERBA PLAYADITO X 2 KG. -5-        ,7793704000041,6049.5048828125
YERB CACHAMATE AMAR 500 ,7792280005686,1487.52099609375
YERBA CACHAMATE CON HIERBAS X 500GR,7792280000469,1487.52099609375
YERBA CACHAMATE C/HIERB AMAR X 500G,7792280005686,1487.52099609375
YERBA CBSE X500 GR,7790710334535,1586.6939697265625
YERBA CBSE CON HIERBAS X 500GR-24- 101,7790710000102,1586.6939697265625
YERBA CBSE CON HIERBAS X 500GR-24- ,7790710031014,1586.6939697265625
YERBA CBSE CON HIERBAS X 500 GR,7790710334535,1586.6939697265625
GUIGNARD 55G            ,7796016000051,1074.2979736328125
HIERBAS GUIGNARD SEDANTE FUERTE 55G,14005,1074.2979736328125
HIERBAS GUIGNARD SEDANTE FUERTE 55G,7796016000051,1074.2979736328125
NARANJA COMUN,2010680000000,751.041015625
NARANJA COMUN <1068>,2010680000000,751.041015625
NARANJA COMUN <1068>,2410680000000,751.041015625
YERBA LA MERCED CAMP 500,7790387015508,4041.240966796875
YERBA LA MERCED DE CAMPO X 500 GR.-     ,7790387015508,4041.240966796875
